ID,App,Workstream,Status,Priority,Phase,Target Window,Owner,Customer Outcome,Step-by-Step Tasks,Dependencies,Capability Keys,Usage Meters,Events,Artifacts,Acceptance Criteria,Verification,Evidence / Agent Notes,Research Basis,Competitive Angle,Risks / Controls
ELK-ORCA-PROD-000,Orca,Research And Selection,Done,P0,0 - Research And Operating Model,Week 0,Coordinator Agent,The next app is selected with market-backed reasoning.,"Confirm Workspace, Social, Memory, Omni, OS, and Studio roadmap packets are complete; select elkhedr-orca as the next standalone app roadmap.",Previous roadmap packets,orca.roadmap,planning.roadmap.create,orca.roadmap_selected,roadmap.decision,Decision names Orca and explains its governed execution role.,Review research memo and row ELK-ORCA-PROD-000.,Research memo created 2026-06-15.,AI coding agents and MCP execution tools are growing quickly but need governance.,Orca becomes the governed enterprise execution runtime.,"If app order changes, create a superseding decision row and preserve this audit trail."
ELK-ORCA-PROD-001,Orca,Roadmap Source Of Truth,Done,P0,0 - Research And Operating Model,Week 0,Orca Agent,Agents have a production task ledger they can update after each task.,"Create CSV with stable IDs; include owner, status, evidence, verification, acceptance, capabilities, events, artifacts, research basis, and risks; create XLSX review workbook.",Research memo,orca.roadmap,planning.roadmap.update,orca.roadmap_created,roadmap.csv; roadmap.xlsx,CSV has 21-column shape and unique row IDs.,Load CSV with Python and XLSX with openpyxl.,Generated alongside Orca research packet.,CSV roadmaps are easier for agents to update than prose plans.,CSV is source of truth; workbook is review artifact.,Agents must update CSV first and regenerate workbook after CSV changes.
ELK-ORCA-PROD-002,Orca,Agent Guide,Done,P0,0 - Research And Operating Model,Week 0,Orca Agent,"Future Orca agents know roadmap, boundaries, and execution rules.","Update Orca agent guide with research, CSV, XLSX paths; add production priorities and CSV update rules.",docs/agent-ops/apps/orca-agent.md,orca.agent,planning.agent.update,orca.agent_guide_updated,agent.guide,Guide links roadmap files and instructs CSV updates.,Review Orca Agent Guide.,Agent guide updated in this workflow.,Enterprise agent execution needs explicit operating discipline.,Keeps Orca independent while safe to integrate.,"Do not let Studio, OS, Omni, or other apps import Orca runtime modules."
ELK-ORCA-PROD-003,Orca,Contract Change Request,Done,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on contract change request as part of a governed Orca execution runtime.,Define the production contract for Contract Change Request; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Contracts README; app split plan,orca.contracts,orca.contracts.usage,contracts.change_requested,contract.change_request,"Contract Change Request is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",python3 scripts/validate-app-contracts.py,"Implemented src/contracts/change-request.js, src/server/routes/orca-contracts.js, scripts/validate-app-contracts.py, tests/unit/orca-contract-change-request.test.js, and fixtures. Updated manifest with orca.contract_change_* event/artifact types. All validation checks pass.",Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-004,Orca,Manifest Validation,Proposed,P0,1 - Contracts And Boundaries,Week 1,Orca Agent,Customers can rely on manifest validation as part of a governed Orca execution runtime.,Define the production contract for Manifest Validation; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing manifest,orca.manifest,orca.manifest.usage,orca.manifest_validated,app.manifest,"Manifest Validation is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",cd elkhedr-orca && npm run manifest,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-005,Orca,OpenAPI Service Contract,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on openapi service contract as part of a governed Orca execution runtime.,Define the production contract for OpenAPI Service Contract; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Contract change request,orca.api,orca.api.usage,orca.openapi_updated,openapi.orca,"OpenAPI Service Contract is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",python3 scripts/validate-app-contracts.py,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-006,Orca,MCP Schema Contract,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on mcp schema contract as part of a governed Orca execution runtime.,Define the production contract for MCP Schema Contract; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,MCP server; OpenAPI,orca.mcp,orca.mcp.usage,orca.mcp_schema_updated,mcp.schema,"MCP Schema Contract is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",MCP schema validation tests pass.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-007,Orca,Action Approval Contract,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on action approval contract as part of a governed Orca execution runtime.,Define the production contract for Action Approval Contract; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing action store,orca.actions; orca.approvals,orca.actions.usage; orca.approvals.usage,orca.action_requested; orca.action_approved; orca.action_rejected,orca.action,"Action Approval Contract is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",node --test tests/unit/orca-action-contract.test.js,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-008,Orca,Event Contracts,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on event contracts as part of a governed Orca execution runtime.,Define the production contract for Event Contracts; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action contract; OS event envelope,orca.events,orca.events.usage,orca.run_started; orca.action_requested; orca.run_completed,orca.event.ref,"Event Contracts is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Event fixture validation passes.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
ELK-ORCA-PROD-009,Orca,Artifact Contracts,Proposed,P0,1 - Contracts And Boundaries,Week 1,Contracts Agent,Customers can rely on artifact contracts as part of a governed Orca execution runtime.,Define the production contract for Artifact Contracts; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Event contracts,orca.artifacts,orca.artifacts.usage,orca.artifact_created,orca.run; orca.report; orca.patch,"Artifact Contracts is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Artifact fixture validation passes.,Pending implementation.,Coding agents and MCP runtimes require stable contracts and least-privilege boundaries.,"Orca competes on governed execution rather than broad, opaque autonomy.",Reject invalid contracts and deny unknown actions/tools by default.
