Phase,Epic,Task ID,Task Name,Description,Priority,Status,Assignee,Dependencies,Acceptance Criteria,Effort (SP),Files to Modify,New Files,Notes
Phase 1: Foundation,Error Handling & Resilience,T1,Implement Structured Error Handling,Replace all try/catch blocks with a centralized error handling system that categorizes errors (AI API failures network errors validation errors). Implement exponential backoff retry logic with jitter for OpenRouter API calls.,Highest,Done,Backend Node.js Lead,,All API calls have retry logic with max 3 attempts. Errors are categorized and logged with correlation IDs. No unhandled promise rejections.,5,src/core.js,src/utils/errors.js src/utils/retry.js,Use custom error classes extending Error
Phase 1: Foundation,Error Handling & Resilience,T2,Add Circuit Breaker Pattern,Implement circuit breaker for OpenRouter API to prevent cascading failures when the service is down. Configurable thresholds for failure rate and recovery timeout.,Highest,Done,Backend Node.js Lead,T1,Circuit breaker trips after 5 failures in 60 seconds. Auto-recovery after 30 seconds. Status visible in health endpoint.,3,src/core.js,src/utils/circuit-breaker.js,Use opossum or custom implementation
Phase 1: Foundation,Logging & Observability,T3,Structured Logging System,Replace console.log with Pino or Winston structured logging. Include request IDs trace IDs timestamps and severity levels. Write logs to rotating files and optionally to Loki/CloudWatch.,Highest,Done,Backend Node.js Lead,,All logs are JSON structured with timestamp level message traceId. Separate files for error warn info. Log rotation daily.,4,src/core.js src/tui.js src/commands.js src/skills.js,src/utils/logger.js config/logging.js,Use pino for performance
Phase 1: Foundation,Logging & Observability,T4,Request Tracing & Correlation IDs,Generate correlation IDs at entry points (CLI TUI API) and propagate through all async operations. Trace agent delegation chains and tool executions.,High,Done,Backend Node.js Lead,T3,Every log entry includes traceId. Agent chains show full delegation path. Traces viewable in dashboard.,3,src/core.js src/index.js src/tui.js,src/utils/tracing.js,Must work across process boundaries
Phase 1: Foundation,Configuration Management,T5,Environment Validation & Config Schema,Use Zod to validate all environment variables at startup. Create a typed configuration object that validates OPENROUTER_API_KEY ORCA_LOG_LEVEL ORCA_DB_URL etc. Fail fast with descriptive errors.,Highest,Done,Backend Node.js Lead,,App crashes on startup with clear message if required env vars missing. Config object is typed and validated. .env.example file updated.,3,src/core.js,src/config/index.js src/config/schema.js .env.example,Never access process.env directly after init
Phase 1: Foundation,Configuration Management,T6,Hot Config Reload,Implement configuration that can be reloaded without restarting the server. Watch config files and env vars for changes. Notify subscribers when config updates.,Medium,Done,Backend Node.js Lead,T5,Config changes reflected without restart. CLI command /reload-config works. Changes logged with old/new values.,3,src/config/index.js,src/config/loader.js,Use chokidar for file watching
Phase 1: Foundation,Testing Infrastructure,T7,Jest Test Suite Setup,Install and configure Jest with coverage reporting. Create test utilities for mocking OpenRouter API calls. Set up pre-commit hooks with Husky.,Highest,Done,QA Automation Engineer,,npm test runs and passes. Coverage reports generated in coverage/. Pre-commit runs lint and test. jest.config.js configured.,4,package.json,jest.config.js tests/setup.js tests/utils/mock-api.js,Target 80% coverage
Phase 1: Foundation,Testing Infrastructure,T8,Unit Tests for Core Orchestration,Write tests for orchestrate() runSingleAgent() and callOpenRouter(). Mock axios responses. Test fallback chain behavior. Test tool execution approval flow.,Highest,Done,Unit Testing Specialist,T7,All core functions have unit tests. Fallback chain tested. Tool approval flow mocked and verified.,5,src/core.js,tests/core.test.js tests/skills.test.js,Use nock for HTTP mocking
Phase 1: Foundation,Testing Infrastructure,T9,Integration Tests for Commands,Test all /commands with mocked session state. Verify command parsing agent selection and analytics display.,High,To Do,QA Automation Engineer,T7,T7,Every command has integration test. Session state correctly mutated. Output formatting verified.,4,src/commands.js,tests/commands.test.js,
Phase 1: Foundation,Input Validation,T10,Zod Schemas for All Inputs,Create Zod schemas for user prompts agent configurations command arguments and API payloads. Validate before processing.,High,Done,Backend Node.js Lead,T5,All inputs validated against schemas. Validation errors return user-friendly messages. No invalid data reaches core logic.,3,,src/schemas/index.js src/schemas/prompt.js src/schemas/agent.js,
Phase 1: Foundation,Input Validation,T11,Prompt Injection Protection,Implement basic prompt injection detection. Sanitize user inputs before sending to AI models. Block known injection patterns.,High,Done,Security Auditor,T10,Known injection patterns are blocked and logged. System prompts are isolated from user content.,3,src/core.js,src/utils/safety.js,Use heuristic + pattern matching
Phase 2: Core Infrastructure,Plugin System,T12,Dynamic Skill Loading,Refactor skills from static imports to a plugin system that loads .js files from skills/ directory at startup. Each skill exports metadata name description version permissions and execute function.,Highest,Done,Chief Software Architect,,New skills can be added by dropping files in skills/ without code changes. Skills declare required permissions. Registry auto-populated.,6,src/skills.js skills/registry.json,src/plugins/loader.js src/plugins/registry.js,Use dynamic require with validation
Phase 2: Core Infrastructure,Plugin System,T13,Skill Marketplace API,Create a JSON API format for skills that includes metadata dependencies and configuration. Support installing skills from GitHub URLs or local paths via CLI command.,High,Done,API Integration Specialist,T12,CLI command /install-skill <url> works. Skills from URLs are downloaded validated and registered. Dependency conflicts detected.,5,src/commands.js,src/plugins/marketplace.js,Store in ~/.orca/skills
Phase 2: Core Infrastructure,Plugin System,T14,Permission System for Skills,Implement RBAC for skills: read write execute network filesystem. Each skill declares required permissions. User must approve elevated permissions.,High,To Do,Security Auditor,T12,Skills cannot execute without declared permissions. Terminal execution requires explicit approval. Permission violations are blocked and logged.,4,,src/plugins/permissions.js,Granular per-skill permissions
Phase 2: Core Infrastructure,Workflow Engine,T15,Task Queue System,Implement an in-memory task queue (BullMQ or custom) for agent workflows. Support job priority retries delays and dead-letter queues.,Highest,To Do,Backend Node.js Lead,,Tasks can be queued with priorities. Failed tasks retry with backoff. Dead letter queue for permanently failed jobs. Queue status queryable.,6,,src/queue/index.js src/queue/worker.js,Start with BullMQ Redis
